# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
11.679190,18.536084,7.574012,18.061042,0.938360,0.902189,0.960017,0.904695,0.896122,0.870809,0.898805,0.869635,3.869168,3.994789,3.850119,3.999465,0.200711,0.190392,0.201339,0.189871
16.652835,28.894289,12.334015,26.650070,0.950200,0.911248,0.962903,0.918807,0.875064,0.846107,0.877348,0.844289,4.143365,4.275906,4.124493,4.280438,0.178464,0.168181,0.179192,0.167479
14.800549,18.325418,7.629797,24.340213,0.943708,0.930230,0.970956,0.907332,0.868631,0.826683,0.864341,0.825992,4.259507,4.426277,4.260800,4.432802,0.183222,0.172664,0.181930,0.172614
25.457534,33.007689,13.130153,41.023881,0.941584,0.924262,0.969853,0.905869,0.879817,0.842493,0.870740,0.841491,4.250876,4.425048,4.283138,4.433448,0.183006,0.173042,0.179872,0.172902
10.986995,20.879390,8.017668,14.920338,0.957320,0.918621,0.968766,0.941843,0.888056,0.848105,0.880114,0.850876,4.006383,4.183232,4.033901,4.165987,0.206547,0.195428,0.203827,0.195886
13.369664,25.253176,9.194449,17.623024,0.944877,0.895873,0.962071,0.927335,0.904598,0.873574,0.898112,0.875113,3.863725,4.019821,3.889351,4.006849,0.212129,0.203251,0.209409,0.203200
17.381403,35.121449,12.427737,21.797090,0.938006,0.874698,0.955638,0.922236,0.892697,0.856256,0.884746,0.859356,3.953443,4.127365,3.983763,4.104073,0.215353,0.204900,0.212832,0.205477
30.523609,53.372869,15.165611,34.028020,0.925535,0.869835,0.962989,0.917013,0.880661,0.845979,0.878037,0.848716,3.932169,4.096033,3.930737,4.074021,0.219408,0.208479,0.217573,0.208858
26.366646,46.860642,16.999323,36.372492,0.921873,0.860058,0.949581,0.891271,0.806084,0.756443,0.809504,0.761603,3.954932,4.153073,3.927919,4.123837,0.233919,0.214864,0.234693,0.215918
24.721952,40.613090,12.619521,30.640172,0.904359,0.841800,0.950871,0.880656,0.795858,0.749227,0.810211,0.751576,3.978887,4.154955,3.906545,4.136518,0.213336,0.195890,0.217910,0.196162
15.084738,24.759536,9.089594,21.411753,0.939255,0.900315,0.963384,0.913794,0.909180,0.877647,0.903823,0.877712,3.654009,3.803788,3.673907,3.801435,0.238425,0.227714,0.236104,0.227745
49.273038,84.024452,29.260821,66.435043,0.929389,0.879652,0.958063,0.904845,0.821182,0.782669,0.818314,0.788014,4.408473,4.596790,4.399970,4.566427,0.213338,0.201710,0.211559,0.202530
21.269610,35.195940,11.862388,28.463262,0.949016,0.915540,0.971951,0.931737,0.848510,0.815594,0.852756,0.817113,4.536784,4.699855,4.505124,4.684220,0.154287,0.144322,0.154538,0.144243
30.594426,64.832757,21.228778,33.157099,0.927976,0.847420,0.950013,0.921967,0.816096,0.767892,0.812631,0.773886,4.578790,4.794991,4.577762,4.744599,0.172421,0.159410,0.171087,0.160139
32.599830,51.193405,15.366083,40.745410,0.922696,0.878657,0.963569,0.903422,0.870927,0.834109,0.869713,0.835057,3.967360,4.133310,3.960592,4.124556,0.230673,0.217923,0.228907,0.218069
34.351659,52.427740,21.950325,55.824261,0.933008,0.897808,0.957200,0.891188,0.839921,0.797678,0.837371,0.796942,4.287004,4.474592,4.286247,4.478934,0.208240,0.195033,0.206707,0.195003
12.509968,19.387513,9.390169,22.218108,0.945667,0.915543,0.959098,0.903211,0.885145,0.844010,0.875499,0.844121,3.969177,4.150942,4.007065,4.152560,0.214305,0.201488,0.211188,0.201487
20.330907,32.291676,17.994983,40.528376,0.939533,0.903942,0.946450,0.879439,0.867363,0.824299,0.856440,0.823632,4.305634,4.493989,4.348814,4.503360,0.182960,0.171695,0.180122,0.171563
28.446061,42.540848,16.990518,44.143415,0.926598,0.890063,0.956087,0.885921,0.843613,0.801684,0.842823,0.801210,4.293691,4.472474,4.279112,4.475453,0.209718,0.196485,0.208954,0.196334
16.612711,23.989462,7.120399,21.775553,0.932206,0.902115,0.970936,0.911148,0.899960,0.865802,0.893267,0.866394,3.519530,3.675203,3.538631,3.672328,0.277125,0.264345,0.273337,0.264356
9.787839,13.896660,5.385400,15.266461,0.952833,0.933017,0.974045,0.926414,0.905890,0.871455,0.899808,0.870434,3.653938,3.806695,3.677433,3.813562,0.244271,0.232599,0.241804,0.232264
26.412030,42.781719,15.927987,38.171042,0.935008,0.894751,0.960795,0.906094,0.856585,0.814217,0.855186,0.815193,4.154786,4.335417,4.147976,4.327003,0.200700,0.187719,0.199695,0.187991
35.717803,63.287227,21.342511,46.016851,0.939901,0.893565,0.964092,0.922610,0.842531,0.802618,0.839901,0.804819,4.507362,4.693269,4.506346,4.676172,0.178134,0.166985,0.176435,0.167094
18.316762,24.694603,10.074507,29.619663,0.937912,0.916312,0.965850,0.899620,0.866288,0.839074,0.873745,0.833667,4.188960,4.310395,4.147398,4.334453,0.171292,0.161449,0.173604,0.159855
22.308728,36.273653,11.822417,29.238842,0.934300,0.893166,0.965225,0.913891,0.899480,0.867435,0.896000,0.867723,3.766853,3.917418,3.774978,3.911774,0.241747,0.231323,0.239402,0.231332
14.324617,21.625334,9.205316,23.108050,0.943819,0.914891,0.963781,0.909054,0.868291,0.824282,0.863554,0.823255,4.130088,4.312971,4.141007,4.316858,0.210281,0.196325,0.208435,0.196107
11.396558,17.474648,5.596028,15.013374,0.946860,0.918472,0.973890,0.929957,0.885554,0.842252,0.879458,0.842787,3.852127,4.030800,3.867500,4.024876,0.230889,0.216360,0.228129,0.216458
14.450678,15.712557,12.400256,34.301924,0.951974,0.947698,0.958723,0.885816,0.873393,0.832925,0.863372,0.828636,4.111311,4.277279,4.150766,4.309826,0.216782,0.203641,0.213688,0.202990
20.963257,29.721058,11.644983,32.539491,0.941451,0.916712,0.967417,0.908796,0.858376,0.814082,0.856634,0.814721,4.236228,4.416594,4.229079,4.415597,0.191588,0.178520,0.190564,0.178792
45.959400,77.758384,21.263715,51.559908,0.923210,0.869905,0.964414,0.913738,0.864296,0.829277,0.861364,0.831761,4.410089,4.579237,4.403177,4.558984,0.188433,0.179250,0.186956,0.179641
15.669417,26.574742,9.254655,21.171462,0.939217,0.896931,0.964103,0.917889,0.867365,0.828297,0.859818,0.830798,4.118109,4.302694,4.137796,4.284021,0.209525,0.197816,0.206298,0.198082
18.920468,30.020359,11.516760,28.606908,0.949374,0.919411,0.969090,0.923210,0.880541,0.843237,0.874830,0.842665,4.236529,4.410622,4.252024,4.410389,0.198137,0.188216,0.196192,0.187959
21.502687,30.582370,11.989894,33.551139,0.936520,0.909678,0.964610,0.900913,0.862355,0.818075,0.854620,0.817780,4.367339,4.556819,4.385801,4.558862,0.185090,0.172821,0.181887,0.172776
16.680919,23.899329,9.934753,26.965787,0.937684,0.910654,0.962852,0.899190,0.865879,0.822390,0.855283,0.822872,4.017229,4.207366,4.050119,4.208908,0.220771,0.206855,0.216906,0.206929
21.400320,31.822177,10.796100,29.880275,0.934632,0.902802,0.967088,0.908736,0.857329,0.831460,0.869613,0.827591,4.368067,4.486386,4.299124,4.502621,0.159389,0.150920,0.162490,0.149513
24.016873,42.328488,14.897364,32.203218,0.940905,0.895709,0.963313,0.920662,0.856821,0.808731,0.852894,0.810374,4.357120,4.554669,4.357730,4.540334,0.183256,0.170250,0.181878,0.170623
12.518167,23.314353,8.118428,16.045559,0.959177,0.923926,0.973551,0.947645,0.811081,0.765275,0.815733,0.765524,4.115479,4.308859,4.099035,4.285123,0.210845,0.193243,0.210563,0.193732
26.385751,34.112809,14.804609,44.558162,0.911388,0.885450,0.950267,0.850375,0.787005,0.739410,0.789162,0.733991,4.048967,4.224104,4.016087,4.259642,0.228968,0.209620,0.229106,0.207844
13.370018,25.371735,8.608071,16.552415,0.954189,0.912878,0.970440,0.943165,0.849870,0.803122,0.851801,0.805281,3.741712,3.917756,3.718173,3.898770,0.236336,0.218818,0.238287,0.219188
11.799912,18.150813,9.025217,21.163648,0.942121,0.910544,0.955524,0.895687,0.846980,0.812545,0.847472,0.803244,4.289944,4.435856,4.281892,4.472086,0.163281,0.152302,0.163754,0.149600
22.327954,31.911173,13.062796,35.370227,0.916861,0.880602,0.951683,0.867765,0.843157,0.812450,0.851824,0.808113,4.248201,4.381005,4.198360,4.399045,0.176037,0.164873,0.178500,0.163439
15.850971,26.733217,11.144704,25.192318,0.963054,0.936408,0.973839,0.939752,0.874144,0.843604,0.877000,0.841384,4.214786,4.348473,4.188172,4.355280,0.170968,0.160710,0.171993,0.160084
12.164089,16.618940,7.343389,20.439329,0.933242,0.908817,0.959748,0.887853,0.868094,0.838614,0.875127,0.835288,3.943372,4.070641,3.909720,4.087547,0.191822,0.180267,0.193472,0.179114
17.010863,25.082777,10.287350,26.926394,0.933544,0.902001,0.959833,0.894797,0.847795,0.815937,0.856142,0.812065,4.335088,4.474087,4.293635,4.492081,0.163572,0.152997,0.165043,0.151737
20.723741,28.790098,9.167510,28.548112,0.932586,0.906334,0.970742,0.907125,0.825906,0.790569,0.839060,0.784513,4.557851,4.703582,4.484849,4.722338,0.150583,0.139885,0.152879,0.138281
14.090481,20.800467,9.979780,25.431913,0.939661,0.910727,0.958118,0.890827,0.895961,0.872688,0.902316,0.871295,3.786292,3.905321,3.755154,3.913175,0.207929,0.198531,0.210070,0.198060
27.680334,48.539502,16.556173,36.345615,0.939745,0.894359,0.963968,0.920897,0.828300,0.793397,0.839107,0.789343,4.573979,4.723543,4.516766,4.728841,0.152763,0.141821,0.154943,0.140595
33.782294,54.497531,17.190269,43.429158,0.915674,0.864027,0.957269,0.891646,0.838858,0.807662,0.850395,0.806197,4.102854,4.246047,4.038593,4.244448,0.201325,0.188981,0.204239,0.188196
9.299045,15.562180,6.938763,15.195540,0.954963,0.923750,0.966069,0.925537,0.847369,0.809306,0.850221,0.802684,4.377284,4.528087,4.356858,4.550636,0.153655,0.142099,0.154211,0.140433
14.664304,22.966904,11.364621,26.614769,0.949816,0.920733,0.960968,0.908225,0.865407,0.836030,0.869695,0.829833,4.325538,4.456978,4.296846,4.485317,0.158643,0.149502,0.160175,0.147659
12.930161,11.928091,10.156591,31.053686,0.945434,0.949115,0.956664,0.867524,0.854635,0.824481,0.856591,0.816331,4.223920,4.341896,4.203124,4.396096,0.169259,0.158405,0.170221,0.156450
11.407974,17.808045,8.153429,19.661936,0.958446,0.934128,0.969956,0.927240,0.867464,0.835014,0.870806,0.827202,4.140468,4.278546,4.115028,4.311267,0.178132,0.166401,0.178002,0.163999
61.074214,104.822919,31.263448,72.833758,0.916639,0.856159,0.957086,0.900056,0.791292,0.756941,0.801642,0.758459,4.851873,5.021091,4.780011,4.998741,0.151720,0.141610,0.154017,0.141443
8.910933,15.548917,6.183363,13.111235,0.949111,0.911194,0.964682,0.925117,0.878001,0.848278,0.882461,0.844866,3.981975,4.113127,3.955053,4.122004,0.186248,0.174747,0.187290,0.173229
16.052521,23.885961,9.341502,24.877672,0.932748,0.899945,0.960916,0.895791,0.869391,0.840334,0.874716,0.837346,4.043738,4.177073,4.009717,4.191420,0.187080,0.176052,0.188206,0.175036
17.299860,23.298213,9.634264,28.358163,0.938083,0.916630,0.965515,0.898524,0.847388,0.814807,0.851652,0.808626,4.384718,4.526842,4.350215,4.555998,0.159860,0.149092,0.160112,0.147109
18.228230,32.448676,12.039287,25.380709,0.927232,0.870244,0.951910,0.898504,0.865905,0.836540,0.868429,0.836744,4.111799,4.262317,4.092676,4.255734,0.190688,0.180164,0.191078,0.179791
17.968029,25.773384,11.009723,29.355463,0.933705,0.904913,0.959451,0.891700,0.848982,0.815857,0.850304,0.806788,4.416178,4.558174,4.399951,4.594044,0.153907,0.143526,0.153933,0.140820
18.861798,37.597223,13.217435,23.708804,0.948159,0.895189,0.963312,0.933893,0.846078,0.808459,0.850209,0.804227,4.431894,4.593417,4.403247,4.598311,0.155731,0.144344,0.156945,0.143040
7.781492,13.515967,5.453649,11.536351,0.988225,0.979515,0.991737,0.982515,0.882890,0.841195,0.878520,0.842517,4.976224,5.158933,4.982775,5.150078,0.117603,0.110459,0.116710,0.110669
7.640205,11.379797,5.357273,13.414822,0.988145,0.982324,0.991678,0.979163,0.904714,0.866961,0.896378,0.867151,4.748778,4.920245,4.781581,4.923563,0.127311,0.120421,0.125563,0.120457
11.050510,19.252228,6.317914,13.954826,0.984136,0.972313,0.990916,0.979931,0.869702,0.825436,0.861461,0.826485,5.086070,5.286247,5.101987,5.270764,0.118284,0.110869,0.116605,0.110968
7.305277,12.213929,5.290641,11.803809,0.989548,0.982495,0.992419,0.983082,0.883833,0.839006,0.872193,0.839716,4.996660,5.193774,5.033842,5.189396,0.117636,0.109952,0.115418,0.110048
5.989462,11.682658,4.577176,8.312655,0.990697,0.981827,0.992882,0.987068,0.902306,0.862930,0.891683,0.864746,4.844268,5.027917,4.883502,5.014506,0.124760,0.117989,0.122495,0.118124
10.727667,16.394283,7.930889,18.947012,0.985121,0.977200,0.988973,0.973646,0.857130,0.808996,0.846339,0.808607,5.219548,5.417417,5.244235,5.428516,0.111289,0.103468,0.109286,0.103438
3.738060,7.196214,3.378558,6.239630,0.994703,0.989780,0.995204,0.991138,0.858481,0.810552,0.856485,0.812453,5.174769,5.374856,5.172562,5.360670,0.107522,0.100016,0.107353,0.100220
5.515097,8.353832,3.054580,7.816269,0.990646,0.985805,0.994812,0.986718,0.900524,0.861162,0.891365,0.861903,4.806458,4.987208,4.835356,4.982197,0.125770,0.118838,0.123880,0.118898
16.647398,32.476321,11.975295,21.945694,0.935908,0.874841,0.953861,0.915423,0.867018,0.837159,0.870886,0.837340,4.148470,4.292448,4.124366,4.283188,0.191163,0.179733,0.192256,0.179541
17.087736,23.756992,10.068398,28.257418,0.976823,0.967574,0.986320,0.961321,0.862523,0.819165,0.850082,0.818678,5.146049,5.340417,5.177996,5.349462,0.120612,0.113774,0.118267,0.113786
9.036496,15.003987,6.094453,13.758912,0.988077,0.980096,0.991923,0.981749,0.877363,0.830899,0.861967,0.832381,5.091800,5.305032,5.142750,5.294016,0.116438,0.109290,0.114080,0.109445
7.822779,15.536861,6.085926,11.142046,0.991284,0.982598,0.993205,0.987492,0.895768,0.849781,0.878041,0.853275,4.994161,5.207294,5.059179,5.179451,0.117591,0.110856,0.115111,0.111241
