# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
15.538386,22.751639,9.543082,25.173609,0.938777,0.910359,0.962553,0.900814,0.869922,0.845150,0.880285,0.837928,3.980326,4.091059,3.929559,4.120431,0.190316,0.180287,0.193566,0.177733
18.178863,41.646727,13.354607,17.998943,0.938740,0.858608,0.954771,0.938920,0.885488,0.858910,0.887725,0.861354,4.148598,4.287858,4.126050,4.263634,0.178376,0.169217,0.179124,0.169485
13.675313,21.083244,10.462344,24.904480,0.984884,0.976566,0.988406,0.972336,0.882021,0.838729,0.871894,0.838297,5.135786,5.324801,5.168351,5.328726,0.112696,0.105835,0.110806,0.105842
10.838934,18.973471,5.959830,13.008562,0.986198,0.975560,0.992356,0.983250,0.900471,0.860838,0.890044,0.863002,4.898775,5.083447,4.919501,5.059635,0.125344,0.119054,0.123391,0.119349
15.165786,42.196574,15.926188,15.622178,0.976832,0.934902,0.975442,0.975910,0.840656,0.794848,0.823210,0.809439,5.206534,5.453946,5.276946,5.330204,0.120697,0.113732,0.118146,0.114956
8.935672,18.256433,6.987802,12.114236,0.988035,0.975291,0.990542,0.983607,0.888566,0.841496,0.870185,0.844632,4.974347,5.191115,5.043465,5.164705,0.119784,0.112293,0.117077,0.112642
10.959768,20.541458,7.343528,14.485923,0.983613,0.968701,0.988838,0.977931,0.909139,0.870090,0.895921,0.872525,4.668663,4.855711,4.709946,4.836392,0.138245,0.131743,0.135868,0.131976
16.512589,27.026114,11.719464,27.027772,0.977078,0.962010,0.983619,0.962042,0.870092,0.825313,0.855896,0.826211,5.035223,5.246787,5.082986,5.240502,0.124776,0.117632,0.122277,0.117761
2.141115,3.733314,1.643046,3.518349,0.997123,0.994982,0.997801,0.995244,0.927325,0.888780,0.913566,0.888895,4.669422,4.843322,4.720807,4.840102,0.129140,0.122771,0.126807,0.122831
6.490935,15.596040,6.581016,9.218696,0.990238,0.976198,0.989982,0.985919,0.912884,0.872840,0.897459,0.874711,4.658653,4.847296,4.721014,4.826332,0.133495,0.126737,0.131154,0.126892
8.807072,15.102953,7.991387,16.816390,0.988498,0.980108,0.989486,0.977843,0.913265,0.871937,0.893983,0.871602,4.761201,4.955781,4.844311,4.957970,0.130369,0.123814,0.127691,0.123904
13.718232,22.343135,6.477029,16.428194,0.982829,0.971627,0.991809,0.979145,0.885564,0.842270,0.875491,0.843753,4.947221,5.143907,4.957907,5.126005,0.127447,0.120612,0.125507,0.120797
6.553288,11.964880,5.671895,11.802757,0.981544,0.964632,0.984382,0.966953,0.902842,0.880583,0.912597,0.878963,3.872975,3.975870,3.815915,3.981899,0.197319,0.189113,0.200905,0.188554
8.442329,20.241069,7.659282,9.985561,0.988369,0.971761,0.989317,0.986072,0.896971,0.853726,0.879472,0.857997,4.892796,5.102888,4.960351,5.061004,0.126227,0.119441,0.123705,0.119878
14.836648,23.127411,9.876087,23.842762,0.978366,0.966090,0.985545,0.965023,0.868978,0.822365,0.854905,0.823246,5.098693,5.303438,5.132374,5.297490,0.118515,0.110748,0.115826,0.110870
9.983126,18.958005,6.568031,12.667846,0.985067,0.971349,0.990096,0.980864,0.869586,0.826327,0.859426,0.829258,5.019782,5.225485,5.038039,5.193836,0.123531,0.116529,0.121621,0.116862
22.341778,31.309050,19.305772,47.500959,0.975622,0.965331,0.978736,0.947367,0.854469,0.811001,0.837449,0.806824,5.173454,5.369764,5.236265,5.403444,0.122786,0.115827,0.120354,0.115566
4.308207,8.902729,3.661761,6.469646,0.994515,0.988471,0.995272,0.991614,0.922794,0.883383,0.907164,0.884620,4.658665,4.841007,4.717662,4.828017,0.131604,0.125375,0.129353,0.125549
6.571488,11.903447,4.509247,9.513556,0.993115,0.987319,0.995217,0.989860,0.904461,0.862319,0.891453,0.864015,4.844670,5.037595,4.884753,5.020241,0.125667,0.119350,0.123740,0.119556
11.803807,17.845480,9.221199,22.403888,0.984220,0.975879,0.987606,0.969674,0.892050,0.850390,0.876627,0.849749,4.887091,5.078891,4.945371,5.087064,0.128456,0.121589,0.125883,0.121621
19.859967,29.721861,10.925431,28.878294,0.936063,0.904281,0.964812,0.906998,0.903194,0.871004,0.896918,0.870827,3.984247,4.132179,4.003166,4.131632,0.206057,0.197219,0.203662,0.197129
17.892991,23.225470,6.496418,23.650647,0.926941,0.905092,0.973455,0.903354,0.894687,0.857530,0.890662,0.858034,3.963536,4.124450,3.965942,4.122857,0.205371,0.194572,0.203061,0.194577
15.014384,23.556900,7.898168,20.075493,0.948065,0.918467,0.972687,0.930519,0.893368,0.847386,0.886748,0.848712,4.141261,4.326761,4.160348,4.319190,0.181030,0.169442,0.178736,0.169658
22.759307,34.416454,14.857541,37.901252,0.940254,0.909504,0.960974,0.900342,0.849547,0.820195,0.858601,0.815326,4.383562,4.520590,4.334425,4.540264,0.163428,0.153754,0.166075,0.152041
41.740081,77.995884,36.796884,72.370163,0.934927,0.878446,0.942619,0.887214,0.865856,0.826253,0.856798,0.827588,4.373331,4.560651,4.404066,4.553647,0.186887,0.176892,0.184044,0.177046
31.368959,49.586971,13.569970,36.432125,0.918773,0.871613,0.964860,0.905673,0.885223,0.846860,0.880781,0.848851,3.996249,4.168784,3.998981,4.154667,0.219677,0.208495,0.216864,0.208673
19.587135,38.246167,13.704449,24.853865,0.946347,0.895197,0.962444,0.931894,0.881283,0.839826,0.876189,0.842410,4.167938,4.346320,4.179724,4.328247,0.191890,0.180357,0.189751,0.180677
37.546884,61.049075,18.272506,45.630994,0.923051,0.874851,0.962544,0.906460,0.835531,0.789083,0.832290,0.790783,4.540817,4.733990,4.528423,4.717277,0.177256,0.165457,0.175634,0.165698
29.244232,41.939915,20.337823,52.485044,0.929770,0.899279,0.951140,0.873953,0.871759,0.835481,0.864929,0.834512,4.319981,4.485805,4.336118,4.496583,0.188768,0.179502,0.186825,0.179258
15.998766,23.969230,7.528735,21.291157,0.948829,0.923274,0.975904,0.931847,0.895223,0.859552,0.889877,0.860162,4.194016,4.355064,4.202145,4.349387,0.187421,0.178297,0.185140,0.178344
9.142555,18.905302,6.403419,10.423643,0.963866,0.925215,0.974684,0.958765,0.891728,0.851713,0.886864,0.854207,4.246117,4.419870,4.258804,4.399537,0.171397,0.161681,0.169985,0.162041
24.080719,49.003013,16.266689,27.470569,0.936867,0.871520,0.957329,0.927976,0.845587,0.799712,0.841639,0.804515,4.460740,4.661198,4.463348,4.626300,0.172001,0.159971,0.170293,0.160636
