# C,gamma,score_train,score
0.01,0.001,0.565947242206235,0.5319148936170213
0.01,0.001,0.45083932853717024,0.425531914893617
0.01,0.01,0.565947242206235,0.5319148936170213
0.01,0.01,0.45083932853717024,0.425531914893617
0.01,0.1,0.565947242206235,0.5319148936170213
0.01,0.1,0.45083932853717024,0.425531914893617
0.01,1.0,0.565947242206235,0.5319148936170213
0.01,1.0,0.45083932853717024,0.425531914893617
0.1,0.001,0.565947242206235,0.5319148936170213
0.1,0.001,0.45083932853717024,0.425531914893617
0.1,0.01,0.565947242206235,0.5319148936170213
0.1,0.01,0.565947242206235,0.5319148936170213
0.1,0.1,0.565947242206235,0.5319148936170213
0.1,0.1,0.565947242206235,0.5319148936170213
0.1,1.0,0.565947242206235,0.5319148936170213
0.1,1.0,0.6306954436450839,0.5957446808510638
1.0,0.001,0.5671462829736211,0.5319148936170213
1.0,0.001,0.565947242206235,0.5319148936170213
1.0,0.01,0.5671462829736211,0.5319148936170213
1.0,0.01,0.5671462829736211,0.5319148936170213
1.0,0.1,0.5671462829736211,0.5319148936170213
1.0,0.1,0.63189448441247,0.6382978723404256
1.0,1.0,0.5671462829736211,0.5319148936170213
1.0,1.0,0.8369304556354916,0.5957446808510638
10.0,0.001,0.5695443645083933,0.5319148936170213
10.0,0.001,0.565947242206235,0.5319148936170213
10.0,0.01,0.5695443645083933,0.5319148936170213
10.0,0.01,0.6223021582733813,0.6595744680851063
10.0,0.1,0.5695443645083933,0.5319148936170213
10.0,0.1,0.7038369304556354,0.6808510638297872
10.0,1.0,0.5695443645083933,0.5319148936170213
10.0,1.0,0.9484412470023981,0.5319148936170213
100.0,0.001,0.5899280575539568,0.574468085106383
100.0,0.001,0.5683453237410072,0.5531914893617021
100.0,0.01,0.5899280575539568,0.574468085106383
100.0,0.01,0.6390887290167866,0.6382978723404256
100.0,0.1,0.5899280575539568,0.574468085106383
100.0,0.1,0.7937649880095923,0.6170212765957447
100.0,1.0,0.5899280575539568,0.574468085106383
100.0,1.0,0.9952038369304557,0.5531914893617021
1000.0,0.001,0.5971223021582733,0.5531914893617021
1000.0,0.001,0.6235011990407674,0.6808510638297872
