# max_depth,min_samples_split,min_samples_leaf,max_features,score_training,score
2,2,1,auto,0.7413793103448276,0.6164383561643836
2,2,1,sqrt,0.7413793103448276,0.6164383561643836
2,2,1,log2,0.7034482758620689,0.5616438356164384
2,2,2,auto,0.7413793103448276,0.6164383561643836
2,2,2,sqrt,0.7413793103448276,0.6164383561643836
2,2,2,log2,0.7034482758620689,0.5616438356164384
2,2,5,auto,0.7413793103448276,0.6164383561643836
2,2,5,sqrt,0.7413793103448276,0.6164383561643836
2,2,5,log2,0.696551724137931,0.5616438356164384
2,2,10,auto,0.7413793103448276,0.6164383561643836
2,2,10,sqrt,0.7413793103448276,0.6164383561643836
2,2,10,log2,0.696551724137931,0.5616438356164384
2,2,20,auto,0.7413793103448276,0.6164383561643836
2,2,20,sqrt,0.7413793103448276,0.6164383561643836
2,2,20,log2,0.696551724137931,0.5616438356164384
2,5,1,auto,0.7413793103448276,0.6164383561643836
2,5,1,sqrt,0.7413793103448276,0.6164383561643836
2,5,1,log2,0.7034482758620689,0.5616438356164384
2,5,2,auto,0.7413793103448276,0.6164383561643836
2,5,2,sqrt,0.7413793103448276,0.6164383561643836
2,5,2,log2,0.7034482758620689,0.5616438356164384
2,5,5,auto,0.7413793103448276,0.6164383561643836
2,5,5,sqrt,0.7413793103448276,0.6164383561643836
2,5,5,log2,0.696551724137931,0.5616438356164384
2,5,10,auto,0.7413793103448276,0.6164383561643836
2,5,10,sqrt,0.7413793103448276,0.6164383561643836
2,5,10,log2,0.696551724137931,0.5616438356164384
2,5,20,auto,0.7413793103448276,0.6164383561643836
2,5,20,sqrt,0.7413793103448276,0.6164383561643836
2,5,20,log2,0.696551724137931,0.5616438356164384
2,10,1,auto,0.7413793103448276,0.6164383561643836
2,10,1,sqrt,0.7413793103448276,0.6164383561643836
2,10,1,log2,0.7034482758620689,0.5616438356164384
2,10,2,auto,0.7413793103448276,0.6164383561643836
2,10,2,sqrt,0.7413793103448276,0.6164383561643836
2,10,2,log2,0.7034482758620689,0.5616438356164384
2,10,5,auto,0.7413793103448276,0.6164383561643836
2,10,5,sqrt,0.7413793103448276,0.6164383561643836
2,10,5,log2,0.696551724137931,0.5616438356164384
2,10,10,auto,0.7413793103448276,0.6164383561643836
2,10,10,sqrt,0.7413793103448276,0.6164383561643836
2,10,10,log2,0.696551724137931,0.5616438356164384
2,10,20,auto,0.7413793103448276,0.6164383561643836
2,10,20,sqrt,0.7413793103448276,0.6164383561643836
2,10,20,log2,0.696551724137931,0.5616438356164384
2,20,1,auto,0.7413793103448276,0.6164383561643836
2,20,1,sqrt,0.7413793103448276,0.6164383561643836
2,20,1,log2,0.7034482758620689,0.5616438356164384
2,20,2,auto,0.7413793103448276,0.6164383561643836
2,20,2,sqrt,0.7413793103448276,0.6164383561643836
2,20,2,log2,0.7034482758620689,0.5616438356164384
2,20,5,auto,0.7413793103448276,0.6164383561643836
2,20,5,sqrt,0.7413793103448276,0.6164383561643836
2,20,5,log2,0.696551724137931,0.5616438356164384
2,20,10,auto,0.7413793103448276,0.6164383561643836
2,20,10,sqrt,0.7413793103448276,0.6164383561643836
2,20,10,log2,0.696551724137931,0.5616438356164384
2,20,20,auto,0.7413793103448276,0.6164383561643836
2,20,20,sqrt,0.7413793103448276,0.6164383561643836
2,20,20,log2,0.696551724137931,0.5616438356164384
2,50,1,auto,0.7413793103448276,0.6164383561643836
2,50,1,sqrt,0.7413793103448276,0.6164383561643836
2,50,1,log2,0.7034482758620689,0.5616438356164384
2,50,2,auto,0.7413793103448276,0.6164383561643836
2,50,2,sqrt,0.7413793103448276,0.6164383561643836
2,50,2,log2,0.7034482758620689,0.5616438356164384
2,50,5,auto,0.7413793103448276,0.6164383561643836
2,50,5,sqrt,0.7413793103448276,0.6164383561643836
2,50,5,log2,0.696551724137931,0.5616438356164384
2,50,10,auto,0.7413793103448276,0.6164383561643836
2,50,10,sqrt,0.7413793103448276,0.6164383561643836
2,50,10,log2,0.696551724137931,0.5616438356164384
2,50,20,auto,0.7413793103448276,0.6164383561643836
2,50,20,sqrt,0.7413793103448276,0.6164383561643836
2,50,20,log2,0.696551724137931,0.5616438356164384
5,2,1,auto,0.9137931034482759,0.6301369863013698
5,2,1,sqrt,0.9137931034482759,0.6301369863013698
5,2,1,log2,0.8586206896551725,0.684931506849315
5,2,2,auto,0.9137931034482759,0.6164383561643836
5,2,2,sqrt,0.9137931034482759,0.6164383561643836
5,2,2,log2,0.8275862068965517,0.7123287671232876
5,2,5,auto,0.8655172413793103,0.6301369863013698
5,2,5,sqrt,0.8655172413793103,0.6301369863013698
5,2,5,log2,0.8482758620689655,0.5753424657534246
5,2,10,auto,0.8517241379310345,0.684931506849315
5,2,10,sqrt,0.8517241379310345,0.684931506849315
5,2,10,log2,0.7862068965517242,0.6438356164383562
5,2,20,auto,0.7724137931034483,0.6438356164383562
5,2,20,sqrt,0.7724137931034483,0.6438356164383562
5,2,20,log2,0.7172413793103448,0.6027397260273972
5,5,1,auto,0.8896551724137931,0.684931506849315
5,5,1,sqrt,0.8896551724137931,0.684931506849315
5,5,1,log2,0.8379310344827586,0.7123287671232876
5,5,2,auto,0.8896551724137931,0.6438356164383562
5,5,2,sqrt,0.8896551724137931,0.6438356164383562
5,5,2,log2,0.8275862068965517,0.7123287671232876
5,5,5,auto,0.8655172413793103,0.6301369863013698
5,5,5,sqrt,0.8655172413793103,0.6301369863013698
5,5,5,log2,0.8482758620689655,0.5753424657534246
5,5,10,auto,0.8517241379310345,0.684931506849315
5,5,10,sqrt,0.8517241379310345,0.684931506849315
5,5,10,log2,0.7862068965517242,0.6438356164383562
5,5,20,auto,0.7724137931034483,0.6438356164383562
5,5,20,sqrt,0.7724137931034483,0.6438356164383562
5,5,20,log2,0.7172413793103448,0.6027397260273972
5,10,1,auto,0.8896551724137931,0.684931506849315
5,10,1,sqrt,0.8896551724137931,0.684931506849315
5,10,1,log2,0.8379310344827586,0.7123287671232876
5,10,2,auto,0.8896551724137931,0.6438356164383562
5,10,2,sqrt,0.8896551724137931,0.6438356164383562
5,10,2,log2,0.8275862068965517,0.7123287671232876
5,10,5,auto,0.8655172413793103,0.6301369863013698
5,10,5,sqrt,0.8655172413793103,0.6301369863013698
5,10,5,log2,0.8482758620689655,0.5753424657534246
5,10,10,auto,0.8517241379310345,0.684931506849315
5,10,10,sqrt,0.8517241379310345,0.684931506849315
5,10,10,log2,0.7862068965517242,0.6438356164383562
5,10,20,auto,0.7724137931034483,0.6438356164383562
5,10,20,sqrt,0.7724137931034483,0.6438356164383562
5,10,20,log2,0.7172413793103448,0.6027397260273972
5,20,1,auto,0.8586206896551725,0.547945205479452
5,20,1,sqrt,0.8586206896551725,0.547945205479452
5,20,1,log2,0.8413793103448276,0.5753424657534246
5,20,2,auto,0.8827586206896552,0.6027397260273972
5,20,2,sqrt,0.8827586206896552,0.6027397260273972
5,20,2,log2,0.8344827586206897,0.5753424657534246
5,20,5,auto,0.8517241379310345,0.6301369863013698
5,20,5,sqrt,0.8517241379310345,0.6301369863013698
5,20,5,log2,0.8172413793103448,0.5616438356164384
5,20,10,auto,0.8517241379310345,0.684931506849315
5,20,10,sqrt,0.8517241379310345,0.684931506849315
5,20,10,log2,0.7862068965517242,0.6438356164383562
5,20,20,auto,0.7724137931034483,0.6438356164383562
5,20,20,sqrt,0.7724137931034483,0.6438356164383562
5,20,20,log2,0.7172413793103448,0.6027397260273972
5,50,1,auto,0.8275862068965517,0.5753424657534246
5,50,1,sqrt,0.8275862068965517,0.5753424657534246
5,50,1,log2,0.7793103448275862,0.589041095890411
5,50,2,auto,0.8275862068965517,0.5753424657534246
5,50,2,sqrt,0.8275862068965517,0.5753424657534246
5,50,2,log2,0.7724137931034483,0.589041095890411
5,50,5,auto,0.8275862068965517,0.6027397260273972
5,50,5,sqrt,0.8275862068965517,0.6027397260273972
5,50,5,log2,0.7241379310344828,0.6027397260273972
5,50,10,auto,0.8172413793103448,0.589041095890411
5,50,10,sqrt,0.8172413793103448,0.589041095890411
5,50,10,log2,0.7241379310344828,0.6027397260273972
5,50,20,auto,0.7896551724137931,0.684931506849315
5,50,20,sqrt,0.7896551724137931,0.684931506849315
5,50,20,log2,0.7172413793103448,0.6027397260273972
10,2,1,auto,1.0,0.5753424657534246
10,2,1,sqrt,1.0,0.5753424657534246
10,2,1,log2,1.0,0.6301369863013698
10,2,2,auto,0.9689655172413794,0.6164383561643836
10,2,2,sqrt,0.9689655172413794,0.6164383561643836
10,2,2,log2,0.9379310344827586,0.6027397260273972
10,2,5,auto,0.903448275862069,0.6027397260273972
10,2,5,sqrt,0.903448275862069,0.6027397260273972
10,2,5,log2,0.8931034482758621,0.6301369863013698
10,2,10,auto,0.8517241379310345,0.547945205479452
10,2,10,sqrt,0.8517241379310345,0.547945205479452
10,2,10,log2,0.8379310344827586,0.684931506849315
10,2,20,auto,0.7724137931034483,0.6438356164383562
10,2,20,sqrt,0.7724137931034483,0.6438356164383562
10,2,20,log2,0.7827586206896552,0.5616438356164384
10,5,1,auto,0.9827586206896551,0.6712328767123288
10,5,1,sqrt,0.9827586206896551,0.6712328767123288
10,5,1,log2,0.9655172413793104,0.6164383561643836
10,5,2,auto,0.9689655172413794,0.6712328767123288
10,5,2,sqrt,0.9689655172413794,0.6712328767123288
10,5,2,log2,0.9586206896551724,0.6027397260273972
10,5,5,auto,0.903448275862069,0.6027397260273972
10,5,5,sqrt,0.903448275862069,0.6027397260273972
10,5,5,log2,0.8931034482758621,0.6301369863013698
10,5,10,auto,0.8517241379310345,0.547945205479452
10,5,10,sqrt,0.8517241379310345,0.547945205479452
10,5,10,log2,0.8379310344827586,0.684931506849315
10,5,20,auto,0.7724137931034483,0.6438356164383562
10,5,20,sqrt,0.7724137931034483,0.6438356164383562
10,5,20,log2,0.7827586206896552,0.5616438356164384
10,10,1,auto,0.9620689655172414,0.6986301369863014
10,10,1,sqrt,0.9620689655172414,0.6986301369863014
10,10,1,log2,0.9620689655172414,0.589041095890411
10,10,2,auto,0.9482758620689655,0.684931506849315
10,10,2,sqrt,0.9482758620689655,0.684931506849315
10,10,2,log2,0.9241379310344827,0.589041095890411
10,10,5,auto,0.903448275862069,0.6027397260273972
10,10,5,sqrt,0.903448275862069,0.6027397260273972
10,10,5,log2,0.8931034482758621,0.6301369863013698
10,10,10,auto,0.8517241379310345,0.547945205479452
10,10,10,sqrt,0.8517241379310345,0.547945205479452
10,10,10,log2,0.8379310344827586,0.684931506849315
10,10,20,auto,0.7724137931034483,0.6438356164383562
10,10,20,sqrt,0.7724137931034483,0.6438356164383562
10,10,20,log2,0.7827586206896552,0.5616438356164384
10,20,1,auto,0.9206896551724137,0.589041095890411
10,20,1,sqrt,0.9206896551724137,0.589041095890411
10,20,1,log2,0.8793103448275862,0.6301369863013698
10,20,2,auto,0.903448275862069,0.5753424657534246
10,20,2,sqrt,0.903448275862069,0.5753424657534246
10,20,2,log2,0.8620689655172413,0.589041095890411
10,20,5,auto,0.8517241379310345,0.547945205479452
10,20,5,sqrt,0.8517241379310345,0.547945205479452
10,20,5,log2,0.8310344827586207,0.5753424657534246
10,20,10,auto,0.8517241379310345,0.547945205479452
10,20,10,sqrt,0.8517241379310345,0.547945205479452
10,20,10,log2,0.8379310344827586,0.684931506849315
10,20,20,auto,0.7724137931034483,0.6438356164383562
10,20,20,sqrt,0.7724137931034483,0.6438356164383562
10,20,20,log2,0.7827586206896552,0.5616438356164384
