# n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score_training,score
10,2,2,1,auto,True,0.7413793103448276,0.6986301369863014
10,2,2,1,auto,False,0.7896551724137931,0.6438356164383562
10,2,2,2,auto,True,0.7379310344827587,0.6986301369863014
10,2,2,2,auto,False,0.7896551724137931,0.6438356164383562
10,2,2,5,auto,True,0.7448275862068966,0.6986301369863014
10,2,2,5,auto,False,0.7862068965517242,0.6438356164383562
10,2,2,10,auto,True,0.7482758620689656,0.6986301369863014
10,2,2,10,auto,False,0.7862068965517242,0.6438356164383562
10,2,2,20,auto,True,0.7241379310344828,0.6438356164383562
10,2,2,20,auto,False,0.7862068965517242,0.6575342465753424
10,2,5,1,auto,True,0.7413793103448276,0.6986301369863014
10,2,5,1,auto,False,0.7896551724137931,0.6438356164383562
10,2,5,2,auto,True,0.7379310344827587,0.6986301369863014
10,2,5,2,auto,False,0.7896551724137931,0.6438356164383562
10,2,5,5,auto,True,0.7448275862068966,0.6986301369863014
10,2,5,5,auto,False,0.7862068965517242,0.6438356164383562
10,2,5,10,auto,True,0.7482758620689656,0.6986301369863014
10,2,5,10,auto,False,0.7862068965517242,0.6438356164383562
10,2,5,20,auto,True,0.7241379310344828,0.6438356164383562
10,2,5,20,auto,False,0.7862068965517242,0.6575342465753424
10,2,10,1,auto,True,0.7413793103448276,0.6986301369863014
10,2,10,1,auto,False,0.7896551724137931,0.6438356164383562
10,2,10,2,auto,True,0.7379310344827587,0.6986301369863014
10,2,10,2,auto,False,0.7896551724137931,0.6438356164383562
10,2,10,5,auto,True,0.7448275862068966,0.6986301369863014
10,2,10,5,auto,False,0.7862068965517242,0.6438356164383562
10,2,10,10,auto,True,0.7482758620689656,0.6986301369863014
10,2,10,10,auto,False,0.7862068965517242,0.6438356164383562
10,2,10,20,auto,True,0.7241379310344828,0.6438356164383562
10,2,10,20,auto,False,0.7862068965517242,0.6575342465753424
10,2,20,1,auto,True,0.7413793103448276,0.6986301369863014
10,2,20,1,auto,False,0.7896551724137931,0.6438356164383562
10,2,20,2,auto,True,0.7379310344827587,0.6986301369863014
10,2,20,2,auto,False,0.7896551724137931,0.6438356164383562
10,2,20,5,auto,True,0.7448275862068966,0.6986301369863014
10,2,20,5,auto,False,0.7862068965517242,0.6438356164383562
10,2,20,10,auto,True,0.7482758620689656,0.6986301369863014
10,2,20,10,auto,False,0.7862068965517242,0.6438356164383562
10,2,20,20,auto,True,0.7241379310344828,0.6438356164383562
10,2,20,20,auto,False,0.7862068965517242,0.6575342465753424
10,2,50,1,auto,True,0.7413793103448276,0.6986301369863014
10,2,50,1,auto,False,0.7896551724137931,0.6438356164383562
10,2,50,2,auto,True,0.7413793103448276,0.6986301369863014
10,2,50,2,auto,False,0.7896551724137931,0.6438356164383562
10,2,50,5,auto,True,0.7413793103448276,0.6986301369863014
10,2,50,5,auto,False,0.7862068965517242,0.6438356164383562
10,2,50,10,auto,True,0.7448275862068966,0.6986301369863014
10,2,50,10,auto,False,0.7862068965517242,0.6438356164383562
10,2,50,20,auto,True,0.7241379310344828,0.6438356164383562
10,2,50,20,auto,False,0.7862068965517242,0.6575342465753424
10,5,2,1,auto,True,0.9517241379310345,0.726027397260274
10,5,2,1,auto,False,0.996551724137931,0.6575342465753424
10,5,2,2,auto,True,0.9517241379310345,0.7808219178082192
10,5,2,2,auto,False,0.996551724137931,0.7123287671232876
10,5,2,5,auto,True,0.9344827586206896,0.7123287671232876
10,5,2,5,auto,False,0.9862068965517241,0.7123287671232876
10,5,2,10,auto,True,0.9,0.684931506849315
10,5,2,10,auto,False,0.9586206896551724,0.6438356164383562
10,5,2,20,auto,True,0.8241379310344827,0.7123287671232876
10,5,2,20,auto,False,0.9310344827586207,0.7123287671232876
10,5,5,1,auto,True,0.9344827586206896,0.726027397260274
10,5,5,1,auto,False,0.9896551724137931,0.7123287671232876
10,5,5,2,auto,True,0.9448275862068966,0.7808219178082192
10,5,5,2,auto,False,0.993103448275862,0.7123287671232876
10,5,5,5,auto,True,0.9344827586206896,0.7123287671232876
10,5,5,5,auto,False,0.9862068965517241,0.7123287671232876
10,5,5,10,auto,True,0.9,0.684931506849315
10,5,5,10,auto,False,0.9586206896551724,0.6438356164383562
10,5,5,20,auto,True,0.8241379310344827,0.7123287671232876
10,5,5,20,auto,False,0.9310344827586207,0.7123287671232876
10,5,10,1,auto,True,0.9206896551724137,0.7534246575342466
10,5,10,1,auto,False,0.9862068965517241,0.7123287671232876
10,5,10,2,auto,True,0.9206896551724137,0.7397260273972602
10,5,10,2,auto,False,0.9896551724137931,0.7123287671232876
10,5,10,5,auto,True,0.9344827586206896,0.7123287671232876
10,5,10,5,auto,False,0.9862068965517241,0.7123287671232876
10,5,10,10,auto,True,0.9,0.684931506849315
10,5,10,10,auto,False,0.9586206896551724,0.6438356164383562
10,5,10,20,auto,True,0.8241379310344827,0.7123287671232876
10,5,10,20,auto,False,0.9310344827586207,0.7123287671232876
10,5,20,1,auto,True,0.903448275862069,0.7123287671232876
10,5,20,1,auto,False,0.9793103448275862,0.684931506849315
10,5,20,2,auto,True,0.8931034482758621,0.684931506849315
10,5,20,2,auto,False,0.9758620689655172,0.6575342465753424
10,5,20,5,auto,True,0.9206896551724137,0.684931506849315
10,5,20,5,auto,False,0.9758620689655172,0.726027397260274
10,5,20,10,auto,True,0.9,0.684931506849315
10,5,20,10,auto,False,0.9586206896551724,0.6438356164383562
10,5,20,20,auto,True,0.8241379310344827,0.7123287671232876
10,5,20,20,auto,False,0.9310344827586207,0.7123287671232876
10,5,50,1,auto,True,0.8448275862068966,0.7123287671232876
10,5,50,1,auto,False,0.9689655172413794,0.7123287671232876
10,5,50,2,auto,True,0.8448275862068966,0.6986301369863014
10,5,50,2,auto,False,0.9724137931034482,0.7123287671232876
10,5,50,5,auto,True,0.8551724137931035,0.726027397260274
10,5,50,5,auto,False,0.9482758620689655,0.7397260273972602
10,5,50,10,auto,True,0.8344827586206897,0.7534246575342466
10,5,50,10,auto,False,0.9379310344827586,0.726027397260274
10,5,50,20,auto,True,0.803448275862069,0.6712328767123288
10,5,50,20,auto,False,0.9241379310344827,0.726027397260274
10,10,2,1,auto,True,0.993103448275862,0.684931506849315
10,10,2,1,auto,False,1.0,0.6712328767123288
10,10,2,2,auto,True,0.993103448275862,0.684931506849315
10,10,2,2,auto,False,1.0,0.726027397260274
10,10,2,5,auto,True,0.9620689655172414,0.6986301369863014
10,10,2,5,auto,False,1.0,0.7397260273972602
10,10,2,10,auto,True,0.906896551724138,0.6986301369863014
10,10,2,10,auto,False,0.9827586206896551,0.6438356164383562
10,10,2,20,auto,True,0.8241379310344827,0.7123287671232876
10,10,2,20,auto,False,0.9517241379310345,0.6712328767123288
10,10,5,1,auto,True,0.9896551724137931,0.6438356164383562
10,10,5,1,auto,False,1.0,0.6986301369863014
10,10,5,2,auto,True,0.9827586206896551,0.7123287671232876
10,10,5,2,auto,False,1.0,0.6986301369863014
10,10,5,5,auto,True,0.9620689655172414,0.6986301369863014
10,10,5,5,auto,False,1.0,0.7397260273972602
10,10,5,10,auto,True,0.906896551724138,0.6986301369863014
10,10,5,10,auto,False,0.9827586206896551,0.6438356164383562
10,10,5,20,auto,True,0.8241379310344827,0.7123287671232876
10,10,5,20,auto,False,0.9517241379310345,0.6712328767123288
10,10,10,1,auto,True,0.9793103448275862,0.6712328767123288
10,10,10,1,auto,False,1.0,0.684931506849315
10,10,10,2,auto,True,0.9758620689655172,0.6986301369863014
10,10,10,2,auto,False,1.0,0.6986301369863014
10,10,10,5,auto,True,0.9620689655172414,0.6986301369863014
10,10,10,5,auto,False,1.0,0.7397260273972602
10,10,10,10,auto,True,0.906896551724138,0.6986301369863014
10,10,10,10,auto,False,0.9827586206896551,0.6438356164383562
10,10,10,20,auto,True,0.8241379310344827,0.7123287671232876
10,10,10,20,auto,False,0.9517241379310345,0.6712328767123288
10,10,20,1,auto,True,0.9655172413793104,0.7123287671232876
10,10,20,1,auto,False,1.0,0.6438356164383562
10,10,20,2,auto,True,0.9689655172413794,0.7123287671232876
10,10,20,2,auto,False,1.0,0.6986301369863014
10,10,20,5,auto,True,0.9310344827586207,0.726027397260274
10,10,20,5,auto,False,1.0,0.6575342465753424
10,10,20,10,auto,True,0.906896551724138,0.6986301369863014
10,10,20,10,auto,False,0.9827586206896551,0.6438356164383562
10,10,20,20,auto,True,0.8241379310344827,0.7123287671232876
10,10,20,20,auto,False,0.9517241379310345,0.6712328767123288
10,10,50,1,auto,True,0.8793103448275862,0.7123287671232876
10,10,50,1,auto,False,0.9724137931034482,0.726027397260274
10,10,50,2,auto,True,0.8689655172413793,0.6575342465753424
10,10,50,2,auto,False,0.9689655172413794,0.684931506849315
10,10,50,5,auto,True,0.8655172413793103,0.7123287671232876
10,10,50,5,auto,False,0.9793103448275862,0.7397260273972602
10,10,50,10,auto,True,0.8344827586206897,0.6986301369863014
10,10,50,10,auto,False,0.9517241379310345,0.6712328767123288
10,10,50,20,auto,True,0.803448275862069,0.6712328767123288
10,10,50,20,auto,False,0.9206896551724137,0.684931506849315
10,20,2,1,auto,True,0.993103448275862,0.7397260273972602
10,20,2,1,auto,False,1.0,0.6986301369863014
10,20,2,2,auto,True,0.993103448275862,0.684931506849315
10,20,2,2,auto,False,1.0,0.726027397260274
10,20,2,5,auto,True,0.9620689655172414,0.6986301369863014
10,20,2,5,auto,False,1.0,0.7397260273972602
10,20,2,10,auto,True,0.906896551724138,0.6986301369863014
10,20,2,10,auto,False,0.9827586206896551,0.6438356164383562
10,20,2,20,auto,True,0.8241379310344827,0.7123287671232876
10,20,2,20,auto,False,0.9517241379310345,0.6712328767123288
10,20,5,1,auto,True,0.9896551724137931,0.6712328767123288
10,20,5,1,auto,False,1.0,0.684931506849315
10,20,5,2,auto,True,0.9862068965517241,0.6301369863013698
10,20,5,2,auto,False,1.0,0.7534246575342466
10,20,5,5,auto,True,0.9620689655172414,0.6986301369863014
10,20,5,5,auto,False,1.0,0.7397260273972602
10,20,5,10,auto,True,0.906896551724138,0.6986301369863014
10,20,5,10,auto,False,0.9827586206896551,0.6438356164383562
10,20,5,20,auto,True,0.8241379310344827,0.7123287671232876
10,20,5,20,auto,False,0.9517241379310345,0.6712328767123288
10,20,10,1,auto,True,0.9827586206896551,0.6575342465753424
10,20,10,1,auto,False,1.0,0.6575342465753424
10,20,10,2,auto,True,0.9827586206896551,0.6986301369863014
10,20,10,2,auto,False,1.0,0.6986301369863014
10,20,10,5,auto,True,0.9620689655172414,0.6986301369863014
10,20,10,5,auto,False,1.0,0.7397260273972602
10,20,10,10,auto,True,0.906896551724138,0.6986301369863014
10,20,10,10,auto,False,0.9827586206896551,0.6438356164383562
10,20,10,20,auto,True,0.8241379310344827,0.7123287671232876
10,20,10,20,auto,False,0.9517241379310345,0.6712328767123288
10,20,20,1,auto,True,0.9586206896551724,0.684931506849315
10,20,20,1,auto,False,1.0,0.6575342465753424
10,20,20,2,auto,True,0.9724137931034482,0.684931506849315
10,20,20,2,auto,False,1.0,0.6986301369863014
10,20,20,5,auto,True,0.9310344827586207,0.726027397260274
10,20,20,5,auto,False,1.0,0.6575342465753424
10,20,20,10,auto,True,0.906896551724138,0.6986301369863014
10,20,20,10,auto,False,0.9827586206896551,0.6438356164383562
10,20,20,20,auto,True,0.8241379310344827,0.7123287671232876
10,20,20,20,auto,False,0.9517241379310345,0.6712328767123288
10,20,50,1,auto,True,0.8862068965517241,0.7123287671232876
10,20,50,1,auto,False,0.9724137931034482,0.726027397260274
10,20,50,2,auto,True,0.8655172413793103,0.6575342465753424
