# C,gamma,kernel,score_train,score
0.01,0.0001,linear,0.728744939271255,0.6559139784946236
0.01,0.0001,rbf,0.5371120107962213,0.6236559139784946
0.01,0.001,linear,0.728744939271255,0.6559139784946236
0.01,0.001,rbf,0.5371120107962213,0.6236559139784946
0.01,0.01,linear,0.728744939271255,0.6559139784946236
0.01,0.01,rbf,0.5371120107962213,0.6236559139784946
0.01,0.1,linear,0.728744939271255,0.6559139784946236
0.01,0.1,rbf,0.5371120107962213,0.6236559139784946
0.01,1,linear,0.728744939271255,0.6559139784946236
0.01,1,rbf,0.5371120107962213,0.6236559139784946
0.01,scale,linear,0.728744939271255,0.6559139784946236
0.01,scale,rbf,0.5371120107962213,0.6236559139784946
0.1,0.0001,linear,0.8502024291497976,0.7311827956989247
0.1,0.0001,rbf,0.46288798920377866,0.3763440860215054
0.1,0.001,linear,0.8502024291497976,0.7311827956989247
0.1,0.001,rbf,0.46288798920377866,0.3763440860215054
0.1,0.01,linear,0.8502024291497976,0.7311827956989247
0.1,0.01,rbf,0.6194331983805668,0.5913978494623656
0.1,0.1,linear,0.8502024291497976,0.7311827956989247
0.1,0.1,rbf,0.6396761133603239,0.6344086021505376
0.1,1,linear,0.8502024291497976,0.7311827956989247
0.1,1,rbf,0.46288798920377866,0.3763440860215054
0.1,scale,linear,0.8502024291497976,0.7311827956989247
0.1,scale,rbf,0.6585695006747638,0.6021505376344086
1,0.0001,linear,0.9689608636977058,0.7204301075268817
1,0.0001,rbf,0.46288798920377866,0.3763440860215054
1,0.001,linear,0.9689608636977058,0.7204301075268817
1,0.001,rbf,0.6329284750337382,0.6129032258064516
1,0.01,linear,0.9689608636977058,0.7204301075268817
1,0.01,rbf,0.7854251012145749,0.7204301075268817
1,0.1,linear,0.9689608636977058,0.7204301075268817
1,0.1,rbf,0.9595141700404858,0.7849462365591398
1,1,linear,0.9689608636977058,0.7204301075268817
1,1,rbf,1.0,0.6236559139784946
1,scale,linear,0.9689608636977058,0.7204301075268817
1,scale,rbf,0.8690958164642375,0.7311827956989247
10,0.0001,linear,1.0,0.7096774193548387
10,0.0001,rbf,0.6383265856950068,0.6021505376344086
10,0.001,linear,1.0,0.7096774193548387
10,0.001,rbf,0.7746288798920378,0.7311827956989247
10,0.01,linear,1.0,0.7096774193548387
10,0.01,rbf,0.9379217273954116,0.7634408602150538
10,0.1,linear,1.0,0.7096774193548387
10,0.1,rbf,1.0,0.7956989247311828
10,1,linear,1.0,0.7096774193548387
10,1,rbf,1.0,0.6236559139784946
10,scale,linear,1.0,0.7096774193548387
10,scale,rbf,0.9878542510121457,0.7956989247311828
100,0.0001,linear,1.0,0.7096774193548387
100,0.0001,rbf,0.7651821862348178,0.7096774193548387
100,0.001,linear,1.0,0.7096774193548387
100,0.001,rbf,0.893387314439946,0.7526881720430108
100,0.01,linear,1.0,0.7096774193548387
100,0.01,rbf,1.0,0.7311827956989247
100,0.1,linear,1.0,0.7096774193548387
100,0.1,rbf,1.0,0.7956989247311828
100,1,linear,1.0,0.7096774193548387
100,1,rbf,1.0,0.6236559139784946
100,scale,linear,1.0,0.7096774193548387
100,scale,rbf,1.0,0.8064516129032258
1000,0.0001,linear,1.0,0.7096774193548387
1000,0.0001,rbf,0.8906882591093117,0.7204301075268817
1000,0.001,linear,1.0,0.7096774193548387
1000,0.001,rbf,0.9973009446693657,0.7419354838709677
1000,0.01,linear,1.0,0.7096774193548387
1000,0.01,rbf,1.0,0.7311827956989247
1000,0.1,linear,1.0,0.7096774193548387
1000,0.1,rbf,1.0,0.7956989247311828
1000,1,linear,1.0,0.7096774193548387
1000,1,rbf,1.0,0.6236559139784946
1000,scale,linear,1.0,0.7096774193548387
1000,scale,rbf,1.0,0.8064516129032258
