# C,gamma,kernel,score_train,score
0.01,0.0001,linear,0.5897435897435898,0.6559139784946236
0.01,0.0001,rbf,0.5371120107962213,0.6236559139784946
0.01,0.001,linear,0.5897435897435898,0.6559139784946236
0.01,0.001,rbf,0.5371120107962213,0.6236559139784946
0.01,0.01,linear,0.5897435897435898,0.6559139784946236
0.01,0.01,rbf,0.5371120107962213,0.6236559139784946
0.01,0.1,linear,0.5897435897435898,0.6559139784946236
0.01,0.1,rbf,0.5371120107962213,0.6236559139784946
0.01,1,linear,0.5897435897435898,0.6559139784946236
0.01,1,rbf,0.5371120107962213,0.6236559139784946
0.01,scale,linear,0.5897435897435898,0.6559139784946236
0.01,scale,rbf,0.5371120107962213,0.6236559139784946
0.1,0.0001,linear,0.6788124156545209,0.6021505376344086
0.1,0.0001,rbf,0.46288798920377866,0.3763440860215054
0.1,0.001,linear,0.6788124156545209,0.6021505376344086
0.1,0.001,rbf,0.46288798920377866,0.3763440860215054
0.1,0.01,linear,0.6788124156545209,0.6021505376344086
0.1,0.01,rbf,0.5573549257759784,0.6021505376344086
0.1,0.1,linear,0.6788124156545209,0.6021505376344086
0.1,0.1,rbf,0.6626180836707153,0.5591397849462365
0.1,1,linear,0.6788124156545209,0.6021505376344086
0.1,1,rbf,0.6288798920377868,0.46236559139784944
0.1,scale,linear,0.6788124156545209,0.6021505376344086
0.1,scale,rbf,0.6369770580296896,0.6344086021505376
1,0.0001,linear,0.757085020242915,0.5806451612903226
1,0.0001,rbf,0.46288798920377866,0.3763440860215054
1,0.001,linear,0.757085020242915,0.5806451612903226
1,0.001,rbf,0.5560053981106613,0.6236559139784946
1,0.01,linear,0.757085020242915,0.5806451612903226
1,0.01,rbf,0.6356275303643725,0.6774193548387096
1,0.1,linear,0.757085020242915,0.5806451612903226
1,0.1,rbf,0.7719298245614035,0.6344086021505376
1,1,linear,0.757085020242915,0.5806451612903226
1,1,rbf,0.9622132253711201,0.6774193548387096
1,scale,linear,0.757085020242915,0.5806451612903226
1,scale,rbf,0.7449392712550608,0.6129032258064516
10,0.0001,linear,0.8677462887989204,0.6666666666666666
10,0.0001,rbf,0.5560053981106613,0.6129032258064516
10,0.001,linear,0.8677462887989204,0.6666666666666666
10,0.001,rbf,0.6396761133603239,0.6344086021505376
10,0.01,linear,0.8677462887989204,0.6666666666666666
10,0.01,rbf,0.7462887989203779,0.6236559139784946
10,0.1,linear,0.8677462887989204,0.6666666666666666
10,0.1,rbf,0.9136302294197031,0.6774193548387096
10,1,linear,0.8677462887989204,0.6666666666666666
10,1,rbf,1.0,0.7096774193548387
10,scale,linear,0.8677462887989204,0.6666666666666666
10,scale,rbf,0.8771929824561403,0.6559139784946236
100,0.0001,linear,0.9541160593792173,0.6129032258064516
100,0.0001,rbf,0.6356275303643725,0.6451612903225806
100,0.001,linear,0.9541160593792173,0.6129032258064516
100,0.001,rbf,0.7004048582995951,0.6129032258064516
100,0.01,linear,0.9541160593792173,0.6129032258064516
100,0.01,rbf,0.8529014844804319,0.6129032258064516
100,0.1,linear,0.9541160593792173,0.6129032258064516
100,0.1,rbf,0.9986504723346828,0.6989247311827957
100,1,linear,0.9541160593792173,0.6129032258064516
100,1,rbf,1.0,0.7096774193548387
100,scale,linear,0.9541160593792173,0.6129032258064516
100,scale,rbf,0.9919028340080972,0.6666666666666666
1000,0.0001,linear,1.0,0.6021505376344086
1000,0.0001,rbf,0.6963562753036437,0.6021505376344086
1000,0.001,linear,1.0,0.6021505376344086
1000,0.001,rbf,0.8137651821862348,0.6129032258064516
1000,0.01,linear,1.0,0.6021505376344086
1000,0.01,rbf,0.97165991902834,0.6666666666666666
1000,0.1,linear,1.0,0.6021505376344086
1000,0.1,rbf,1.0,0.7096774193548387
1000,1,linear,1.0,0.6021505376344086
1000,1,rbf,1.0,0.7096774193548387
1000,scale,linear,1.0,0.6021505376344086
1000,scale,rbf,1.0,0.7419354838709677
