# C,gamma,kernel,score_train,score
0.01,0.0001,linear,0.7152496626180836,0.6021505376344086
0.01,0.0001,rbf,0.5371120107962213,0.6236559139784946
0.01,0.001,linear,0.7152496626180836,0.6021505376344086
0.01,0.001,rbf,0.5371120107962213,0.6236559139784946
0.01,0.01,linear,0.7152496626180836,0.6021505376344086
0.01,0.01,rbf,0.5371120107962213,0.6236559139784946
0.01,0.1,linear,0.7152496626180836,0.6021505376344086
0.01,0.1,rbf,0.5371120107962213,0.6236559139784946
0.01,1,linear,0.7152496626180836,0.6021505376344086
0.01,1,rbf,0.5371120107962213,0.6236559139784946
0.01,scale,linear,0.7152496626180836,0.6021505376344086
0.01,scale,rbf,0.5371120107962213,0.6236559139784946
0.1,0.0001,linear,0.8299595141700404,0.7096774193548387
0.1,0.0001,rbf,0.46288798920377866,0.3763440860215054
0.1,0.001,linear,0.8299595141700404,0.7096774193548387
0.1,0.001,rbf,0.46288798920377866,0.3763440860215054
0.1,0.01,linear,0.8299595141700404,0.7096774193548387
0.1,0.01,rbf,0.6099865047233468,0.6021505376344086
0.1,0.1,linear,0.8299595141700404,0.7096774193548387
0.1,0.1,rbf,0.6869095816464238,0.6559139784946236
0.1,1,linear,0.8299595141700404,0.7096774193548387
0.1,1,rbf,0.46288798920377866,0.3763440860215054
0.1,scale,linear,0.8299595141700404,0.7096774193548387
0.1,scale,rbf,0.6545209176788124,0.5806451612903226
1,0.0001,linear,0.9352226720647774,0.7096774193548387
1,0.0001,rbf,0.46288798920377866,0.3763440860215054
1,0.001,linear,0.9352226720647774,0.7096774193548387
1,0.001,rbf,0.6140350877192983,0.5806451612903226
1,0.01,linear,0.9352226720647774,0.7096774193548387
1,0.01,rbf,0.757085020242915,0.6666666666666666
1,0.1,linear,0.9352226720647774,0.7096774193548387
1,0.1,rbf,0.9460188933873145,0.8172043010752689
1,1,linear,0.9352226720647774,0.7096774193548387
1,1,rbf,1.0,0.6236559139784946
1,scale,linear,0.9352226720647774,0.7096774193548387
1,scale,rbf,0.8852901484480432,0.7956989247311828
10,0.0001,linear,0.9973009446693657,0.6666666666666666
10,0.0001,rbf,0.611336032388664,0.5913978494623656
10,0.001,linear,0.9973009446693657,0.6666666666666666
10,0.001,rbf,0.7503373819163293,0.6666666666666666
10,0.01,linear,0.9973009446693657,0.6666666666666666
10,0.01,rbf,0.902834008097166,0.7526881720430108
10,0.1,linear,0.9973009446693657,0.6666666666666666
10,0.1,rbf,1.0,0.8494623655913979
10,1,linear,0.9973009446693657,0.6666666666666666
10,1,rbf,1.0,0.6236559139784946
10,scale,linear,0.9973009446693657,0.6666666666666666
10,scale,rbf,0.9932523616734144,0.8279569892473119
100,0.0001,linear,1.0,0.6666666666666666
100,0.0001,rbf,0.7516869095816464,0.6559139784946236
100,0.001,linear,1.0,0.6666666666666666
100,0.001,rbf,0.8704453441295547,0.7311827956989247
100,0.01,linear,1.0,0.6666666666666666
100,0.01,rbf,0.9973009446693657,0.8064516129032258
100,0.1,linear,1.0,0.6666666666666666
100,0.1,rbf,1.0,0.8494623655913979
100,1,linear,1.0,0.6666666666666666
100,1,rbf,1.0,0.6236559139784946
100,scale,linear,1.0,0.6666666666666666
100,scale,rbf,1.0,0.8279569892473119
1000,0.0001,linear,1.0,0.6666666666666666
1000,0.0001,rbf,0.8623481781376519,0.7096774193548387
1000,0.001,linear,1.0,0.6666666666666666
1000,0.001,rbf,0.9770580296896086,0.6881720430107527
1000,0.01,linear,1.0,0.6666666666666666
1000,0.01,rbf,1.0,0.8064516129032258
1000,0.1,linear,1.0,0.6666666666666666
1000,0.1,rbf,1.0,0.8494623655913979
1000,1,linear,1.0,0.6666666666666666
1000,1,rbf,1.0,0.6236559139784946
1000,scale,linear,1.0,0.6666666666666666
1000,scale,rbf,1.0,0.8279569892473119
