# C,gamma,kernel,score_train,score
10,0.01,rbf,0.943319838,0.811827957
100,scale,rbf,1,0.811827957
1000,scale,rbf,1,0.811827957
10,scale,rbf,0.991902834,0.806451613
10,0.1,rbf,1,0.795698925
100,0.1,rbf,1,0.795698925
1000,0.1,rbf,1,0.795698925
1000,0.01,rbf,1,0.784946237
100,0.01,rbf,1,0.768817204
1,0.1,rbf,0.964912281,0.747311828
1,scale,rbf,0.856950067,0.741935484
100,0.001,rbf,0.913630229,0.731182796
10,0.001,rbf,0.775978408,0.725806452
100,0.0001,rbf,0.77462888,0.725806452
1,0.01,rbf,0.778677463,0.709677419
10,0.0001,linear,1,0.709677419
10,0.001,linear,1,0.709677419
10,0.01,linear,1,0.709677419
10,0.1,linear,1,0.709677419
10,1,linear,1,0.709677419
10,scale,linear,1,0.709677419
100,0.0001,linear,1,0.709677419
100,0.001,linear,1,0.709677419
100,0.01,linear,1,0.709677419
100,0.1,linear,1,0.709677419
100,1,linear,1,0.709677419
100,scale,linear,1,0.709677419
1000,0.0001,linear,1,0.709677419
1000,0.0001,rbf,0.900134953,0.709677419
1000,0.001,linear,1,0.709677419
1000,0.01,linear,1,0.709677419
1000,0.1,linear,1,0.709677419
1000,1,linear,1,0.709677419
1000,scale,linear,1,0.709677419
0.1,0.0001,linear,0.85560054,0.704301075
0.1,0.001,linear,0.85560054,0.704301075
0.1,0.01,linear,0.85560054,0.704301075
0.1,0.1,linear,0.85560054,0.704301075
0.1,1,linear,0.85560054,0.704301075
0.1,scale,linear,0.85560054,0.704301075
1,0.0001,linear,0.968960864,0.704301075
1,0.001,linear,0.968960864,0.704301075
1,0.01,linear,0.968960864,0.704301075
1,0.1,linear,0.968960864,0.704301075
1,1,linear,0.968960864,0.704301075
1,scale,linear,0.968960864,0.704301075
1000,0.001,rbf,0.997300945,0.704301075
0.01,0.0001,linear,0.73414305,0.661290323
0.01,0.001,linear,0.73414305,0.661290323
0.01,0.01,linear,0.73414305,0.661290323
0.01,0.1,linear,0.73414305,0.661290323
0.01,1,linear,0.73414305,0.661290323
0.01,scale,linear,0.73414305,0.661290323
0.1,0.1,rbf,0.662618084,0.612903226
1,0.001,rbf,0.642375169,0.596774194
10,0.0001,rbf,0.646423752,0.591397849
0.1,0.01,rbf,0.632928475,0.586021505
0.1,scale,rbf,0.663967611,0.586021505
0.01,0.0001,rbf,0.545209177,0.569892473
0.01,0.001,rbf,0.545209177,0.569892473
0.01,0.01,rbf,0.545209177,0.569892473
0.01,0.1,rbf,0.545209177,0.569892473
0.01,1,rbf,0.545209177,0.569892473
0.01,scale,rbf,0.545209177,0.569892473
0.1,0.0001,rbf,0.545209177,0.569892473
0.1,0.001,rbf,0.545209177,0.569892473
0.1,1,rbf,0.545209177,0.569892473
1,1,rbf,1,0.569892473
10,1,rbf,1,0.569892473
100,1,rbf,1,0.569892473
1000,1,rbf,1,0.569892473
1,0.0001,rbf,0.454790823,0.430107527
