# C,gamma,kernel,score_train,score
0.01,0.0001,linear,0.6620689655172414,0.589041095890411
0.01,0.0001,rbf,0.3620689655172414,0.3561643835616438
0.01,0.001,linear,0.6620689655172414,0.589041095890411
0.01,0.001,rbf,0.3620689655172414,0.3561643835616438
0.01,0.01,linear,0.6620689655172414,0.589041095890411
0.01,0.01,rbf,0.3620689655172414,0.3561643835616438
0.01,0.1,linear,0.6620689655172414,0.589041095890411
0.01,0.1,rbf,0.3620689655172414,0.3561643835616438
0.01,1,linear,0.6620689655172414,0.589041095890411
0.01,1,rbf,0.3620689655172414,0.3561643835616438
0.01,scale,linear,0.6620689655172414,0.589041095890411
0.01,scale,rbf,0.3620689655172414,0.3561643835616438
0.1,0.0001,linear,0.7517241379310344,0.6438356164383562
0.1,0.0001,rbf,0.3620689655172414,0.3561643835616438
0.1,0.001,linear,0.7517241379310344,0.6438356164383562
0.1,0.001,rbf,0.3620689655172414,0.3561643835616438
0.1,0.01,linear,0.7517241379310344,0.6438356164383562
0.1,0.01,rbf,0.5551724137931034,0.5616438356164384
0.1,0.1,linear,0.7517241379310344,0.6438356164383562
0.1,0.1,rbf,0.5448275862068965,0.4794520547945205
0.1,1,linear,0.7517241379310344,0.6438356164383562
0.1,1,rbf,0.3620689655172414,0.3561643835616438
0.1,scale,linear,0.7517241379310344,0.6438356164383562
0.1,scale,rbf,0.5620689655172414,0.5616438356164384
1,0.0001,linear,0.8896551724137931,0.7397260273972602
1,0.0001,rbf,0.6275862068965518,0.5616438356164384
1,0.001,linear,0.8896551724137931,0.7397260273972602
1,0.001,rbf,0.6344827586206897,0.5753424657534246
1,0.01,linear,0.8896551724137931,0.7397260273972602
1,0.01,rbf,0.6655172413793103,0.589041095890411
1,0.1,linear,0.8896551724137931,0.7397260273972602
1,0.1,rbf,0.8620689655172413,0.6301369863013698
1,1,linear,0.8896551724137931,0.7397260273972602
1,1,rbf,0.9896551724137931,0.6164383561643836
1,scale,linear,0.8896551724137931,0.7397260273972602
1,scale,rbf,0.7862068965517242,0.6301369863013698
10,0.0001,linear,0.9724137931034482,0.589041095890411
10,0.0001,rbf,0.6206896551724138,0.5753424657534246
10,0.001,linear,0.9724137931034482,0.589041095890411
10,0.001,rbf,0.6620689655172414,0.589041095890411
10,0.01,linear,0.9724137931034482,0.589041095890411
10,0.01,rbf,0.8068965517241379,0.6575342465753424
10,0.1,linear,0.9724137931034482,0.589041095890411
10,0.1,rbf,0.9724137931034482,0.6301369863013698
10,1,linear,0.9724137931034482,0.589041095890411
10,1,rbf,1.0,0.6027397260273972
10,scale,linear,0.9724137931034482,0.589041095890411
10,scale,rbf,0.9379310344827586,0.6712328767123288
100,0.0001,linear,1.0,0.6575342465753424
100,0.0001,rbf,0.6689655172413793,0.6027397260273972
100,0.001,linear,1.0,0.6575342465753424
100,0.001,rbf,0.7689655172413793,0.6712328767123288
100,0.01,linear,1.0,0.6575342465753424
100,0.01,rbf,0.9517241379310345,0.7397260273972602
100,0.1,linear,1.0,0.6575342465753424
100,0.1,rbf,1.0,0.6027397260273972
100,1,linear,1.0,0.6575342465753424
100,1,rbf,1.0,0.6027397260273972
100,scale,linear,1.0,0.6575342465753424
100,scale,rbf,1.0,0.684931506849315
1000,0.0001,linear,1.0,0.6575342465753424
1000,0.0001,rbf,0.7689655172413793,0.6712328767123288
1000,0.001,linear,1.0,0.6575342465753424
1000,0.001,rbf,0.9344827586206896,0.6986301369863014
1000,0.01,linear,1.0,0.6575342465753424
1000,0.01,rbf,1.0,0.684931506849315
1000,0.1,linear,1.0,0.6575342465753424
1000,0.1,rbf,1.0,0.6027397260273972
1000,1,linear,1.0,0.6575342465753424
1000,1,rbf,1.0,0.6027397260273972
1000,scale,linear,1.0,0.6575342465753424
1000,scale,rbf,1.0,0.6575342465753424
