# C,gamma,kernel,score_train,score
10,0.1,rbf,0.929824561,0.704301075
10,scale,rbf,0.890688259,0.698924731
10,1,rbf,1,0.693548387
100,1,rbf,1,0.693548387
1000,1,rbf,1,0.693548387
100,0.01,rbf,0.867746289,0.688172043
1,1,rbf,0.964912281,0.666666667
1,0.1,rbf,0.780026991,0.655913978
1,scale,rbf,0.739541161,0.650537634
0.1,1,rbf,0.858299595,0.634408602
1000,0.001,rbf,0.825910931,0.634408602
10,0.01,rbf,0.736842105,0.629032258
100,scale,rbf,0.997300945,0.61827957
1000,0.0001,linear,0.998650472,0.61827957
1000,0.001,linear,0.998650472,0.61827957
1000,0.01,linear,0.998650472,0.61827957
1000,0.1,linear,0.998650472,0.61827957
1000,1,linear,0.998650472,0.61827957
1000,scale,linear,0.998650472,0.61827957
0.1,0.0001,linear,0.67071525,0.607526882
0.1,0.001,linear,0.67071525,0.607526882
0.1,0.01,linear,0.67071525,0.607526882
0.1,0.1,linear,0.67071525,0.607526882
0.1,1,linear,0.67071525,0.607526882
0.1,scale,linear,0.67071525,0.607526882
0.1,scale,rbf,0.632928475,0.607526882
100,0.0001,linear,0.955465587,0.607526882
100,0.001,linear,0.955465587,0.607526882
100,0.001,rbf,0.71120108,0.607526882
100,0.01,linear,0.955465587,0.607526882
100,0.1,linear,0.955465587,0.607526882
100,0.1,rbf,1,0.607526882
100,1,linear,0.955465587,0.607526882
100,scale,linear,0.955465587,0.607526882
1000,0.01,rbf,0.970310391,0.607526882
0.1,0.01,rbf,0.584345479,0.602150538
0.01,0.0001,linear,0.604588394,0.596774194
0.01,0.001,linear,0.604588394,0.596774194
0.01,0.01,linear,0.604588394,0.596774194
0.01,0.1,linear,0.604588394,0.596774194
0.01,1,linear,0.604588394,0.596774194
0.01,scale,linear,0.604588394,0.596774194
0.1,0.1,rbf,0.658569501,0.596774194
1,0.01,rbf,0.642375169,0.596774194
10,0.0001,linear,0.881241565,0.596774194
10,0.001,linear,0.881241565,0.596774194
10,0.01,linear,0.881241565,0.596774194
10,0.1,linear,0.881241565,0.596774194
10,1,linear,0.881241565,0.596774194
10,scale,linear,0.881241565,0.596774194
1000,scale,rbf,1,0.596774194
1,0.001,rbf,0.578947368,0.591397849
1000,0.0001,rbf,0.701754386,0.591397849
1000,0.1,rbf,1,0.591397849
10,0.0001,rbf,0.568151147,0.586021505
1,0.0001,linear,0.778677463,0.580645161
1,0.001,linear,0.778677463,0.580645161
1,0.01,linear,0.778677463,0.580645161
1,0.1,linear,0.778677463,0.580645161
1,1,linear,0.778677463,0.580645161
1,scale,linear,0.778677463,0.580645161
10,0.001,rbf,0.641025641,0.580645161
100,0.0001,rbf,0.638326586,0.575268817
0.01,0.0001,rbf,0.545209177,0.569892473
0.01,0.001,rbf,0.545209177,0.569892473
0.01,0.01,rbf,0.545209177,0.569892473
0.01,0.1,rbf,0.545209177,0.569892473
0.01,1,rbf,0.545209177,0.569892473
0.01,scale,rbf,0.545209177,0.569892473
0.1,0.0001,rbf,0.545209177,0.569892473
0.1,0.001,rbf,0.545209177,0.569892473
1,0.0001,rbf,0.454790823,0.430107527
