# n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score_training,score
10,2,2,1,auto,True,0.6396761133603239,0.5483870967741935
10,2,2,1,auto,False,0.6194331983805668,0.5806451612903226
10,2,2,1,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,2,1,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,2,2,auto,True,0.6396761133603239,0.5483870967741935
10,2,2,2,auto,False,0.6194331983805668,0.5806451612903226
10,2,2,2,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,2,2,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,2,5,auto,True,0.6383265856950068,0.553763440860215
10,2,2,5,auto,False,0.631578947368421,0.5860215053763441
10,2,2,5,sqrt,True,0.6383265856950068,0.553763440860215
10,2,2,5,sqrt,False,0.631578947368421,0.5860215053763441
10,2,2,10,auto,True,0.6261808367071525,0.5645161290322581
10,2,2,10,auto,False,0.6261808367071525,0.5913978494623656
10,2,2,10,sqrt,True,0.6261808367071525,0.5645161290322581
10,2,2,10,sqrt,False,0.6261808367071525,0.5913978494623656
10,2,2,20,auto,True,0.6167341430499326,0.5698924731182796
10,2,2,20,auto,False,0.6234817813765182,0.5860215053763441
10,2,2,20,sqrt,True,0.6167341430499326,0.5698924731182796
10,2,2,20,sqrt,False,0.6234817813765182,0.5860215053763441
10,2,5,1,auto,True,0.6396761133603239,0.5483870967741935
10,2,5,1,auto,False,0.6194331983805668,0.5806451612903226
10,2,5,1,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,5,1,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,5,2,auto,True,0.6396761133603239,0.5483870967741935
10,2,5,2,auto,False,0.6194331983805668,0.5806451612903226
10,2,5,2,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,5,2,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,5,5,auto,True,0.6383265856950068,0.553763440860215
10,2,5,5,auto,False,0.631578947368421,0.5860215053763441
10,2,5,5,sqrt,True,0.6383265856950068,0.553763440860215
10,2,5,5,sqrt,False,0.631578947368421,0.5860215053763441
10,2,5,10,auto,True,0.6261808367071525,0.5645161290322581
10,2,5,10,auto,False,0.6261808367071525,0.5913978494623656
10,2,5,10,sqrt,True,0.6261808367071525,0.5645161290322581
10,2,5,10,sqrt,False,0.6261808367071525,0.5913978494623656
10,2,5,20,auto,True,0.6167341430499326,0.5698924731182796
10,2,5,20,auto,False,0.6234817813765182,0.5860215053763441
10,2,5,20,sqrt,True,0.6167341430499326,0.5698924731182796
10,2,5,20,sqrt,False,0.6234817813765182,0.5860215053763441
10,2,10,1,auto,True,0.6396761133603239,0.5483870967741935
10,2,10,1,auto,False,0.6194331983805668,0.5806451612903226
10,2,10,1,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,10,1,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,10,2,auto,True,0.6396761133603239,0.5483870967741935
10,2,10,2,auto,False,0.6194331983805668,0.5806451612903226
10,2,10,2,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,10,2,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,10,5,auto,True,0.6383265856950068,0.553763440860215
10,2,10,5,auto,False,0.631578947368421,0.5860215053763441
10,2,10,5,sqrt,True,0.6383265856950068,0.553763440860215
10,2,10,5,sqrt,False,0.631578947368421,0.5860215053763441
10,2,10,10,auto,True,0.6261808367071525,0.5645161290322581
10,2,10,10,auto,False,0.6261808367071525,0.5913978494623656
10,2,10,10,sqrt,True,0.6261808367071525,0.5645161290322581
10,2,10,10,sqrt,False,0.6261808367071525,0.5913978494623656
10,2,10,20,auto,True,0.6167341430499326,0.5698924731182796
10,2,10,20,auto,False,0.6234817813765182,0.5860215053763441
10,2,10,20,sqrt,True,0.6167341430499326,0.5698924731182796
10,2,10,20,sqrt,False,0.6234817813765182,0.5860215053763441
10,2,20,1,auto,True,0.6396761133603239,0.5483870967741935
10,2,20,1,auto,False,0.6194331983805668,0.5806451612903226
10,2,20,1,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,20,1,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,20,2,auto,True,0.6396761133603239,0.5483870967741935
10,2,20,2,auto,False,0.6194331983805668,0.5806451612903226
10,2,20,2,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,20,2,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,20,5,auto,True,0.6383265856950068,0.553763440860215
10,2,20,5,auto,False,0.631578947368421,0.5860215053763441
10,2,20,5,sqrt,True,0.6383265856950068,0.553763440860215
10,2,20,5,sqrt,False,0.631578947368421,0.5860215053763441
10,2,20,10,auto,True,0.6261808367071525,0.5645161290322581
10,2,20,10,auto,False,0.6261808367071525,0.5913978494623656
10,2,20,10,sqrt,True,0.6261808367071525,0.5645161290322581
10,2,20,10,sqrt,False,0.6261808367071525,0.5913978494623656
10,2,20,20,auto,True,0.6167341430499326,0.5698924731182796
10,2,20,20,auto,False,0.6234817813765182,0.5860215053763441
10,2,20,20,sqrt,True,0.6167341430499326,0.5698924731182796
10,2,20,20,sqrt,False,0.6234817813765182,0.5860215053763441
10,2,50,1,auto,True,0.6396761133603239,0.5483870967741935
10,2,50,1,auto,False,0.6194331983805668,0.5806451612903226
10,2,50,1,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,50,1,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,50,2,auto,True,0.6396761133603239,0.5483870967741935
10,2,50,2,auto,False,0.6194331983805668,0.5806451612903226
10,2,50,2,sqrt,True,0.6396761133603239,0.5483870967741935
10,2,50,2,sqrt,False,0.6194331983805668,0.5806451612903226
10,2,50,5,auto,True,0.6383265856950068,0.553763440860215
10,2,50,5,auto,False,0.631578947368421,0.5860215053763441
10,2,50,5,sqrt,True,0.6383265856950068,0.553763440860215
10,2,50,5,sqrt,False,0.631578947368421,0.5860215053763441
10,2,50,10,auto,True,0.6261808367071525,0.5645161290322581
10,2,50,10,auto,False,0.6261808367071525,0.5913978494623656
10,2,50,10,sqrt,True,0.6261808367071525,0.5645161290322581
10,2,50,10,sqrt,False,0.6261808367071525,0.5913978494623656
10,2,50,20,auto,True,0.6167341430499326,0.5698924731182796
10,2,50,20,auto,False,0.6234817813765182,0.5860215053763441
10,2,50,20,sqrt,True,0.6167341430499326,0.5698924731182796
10,2,50,20,sqrt,False,0.6234817813765182,0.5860215053763441
500,100,5,2,sqrt,False,1.0,0.543010752688172
10,5,2,1,auto,True,0.7516869095816464,0.5806451612903226
10,5,2,1,auto,False,0.7543859649122807,0.553763440860215
10,5,2,1,sqrt,True,0.7516869095816464,0.5806451612903226
10,5,2,1,sqrt,False,0.7543859649122807,0.553763440860215
10,5,2,2,auto,True,0.7462887989203779,0.553763440860215
10,5,2,2,auto,False,0.7557354925775979,0.5806451612903226
10,5,2,2,sqrt,True,0.7462887989203779,0.553763440860215
