# n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score_training,score
10,2,2,1,auto,True,0.650472334682861,0.5698924731182796
10,2,2,1,auto,False,0.6329284750337382,0.5698924731182796
10,2,2,2,auto,True,0.650472334682861,0.5698924731182796
10,2,2,2,auto,False,0.6329284750337382,0.5698924731182796
10,2,2,5,auto,True,0.6464237516869096,0.5860215053763441
10,2,2,5,auto,False,0.6329284750337382,0.5698924731182796
10,2,2,10,auto,True,0.6329284750337382,0.5913978494623656
10,2,2,10,auto,False,0.631578947368421,0.5591397849462365
10,2,2,20,auto,True,0.6369770580296896,0.5806451612903226
10,2,2,20,auto,False,0.6302294197031039,0.5591397849462365
10,2,5,1,auto,True,0.650472334682861,0.5698924731182796
10,2,5,1,auto,False,0.6329284750337382,0.5698924731182796
10,2,5,2,auto,True,0.650472334682861,0.5698924731182796
10,2,5,2,auto,False,0.6329284750337382,0.5698924731182796
10,2,5,5,auto,True,0.6464237516869096,0.5860215053763441
10,2,5,5,auto,False,0.6329284750337382,0.5698924731182796
10,2,5,10,auto,True,0.6329284750337382,0.5913978494623656
10,2,5,10,auto,False,0.631578947368421,0.5591397849462365
10,2,5,20,auto,True,0.6369770580296896,0.5806451612903226
10,2,5,20,auto,False,0.6302294197031039,0.5591397849462365
10,2,10,1,auto,True,0.650472334682861,0.5698924731182796
10,2,10,1,auto,False,0.6329284750337382,0.5698924731182796
10,2,10,2,auto,True,0.650472334682861,0.5698924731182796
10,2,10,2,auto,False,0.6329284750337382,0.5698924731182796
10,2,10,5,auto,True,0.6464237516869096,0.5860215053763441
10,2,10,5,auto,False,0.6329284750337382,0.5698924731182796
10,2,10,10,auto,True,0.6329284750337382,0.5913978494623656
10,2,10,10,auto,False,0.631578947368421,0.5591397849462365
10,2,10,20,auto,True,0.6369770580296896,0.5806451612903226
10,2,10,20,auto,False,0.6302294197031039,0.5591397849462365
10,2,20,1,auto,True,0.650472334682861,0.5698924731182796
10,2,20,1,auto,False,0.6329284750337382,0.5698924731182796
10,2,20,2,auto,True,0.650472334682861,0.5698924731182796
10,2,20,2,auto,False,0.6329284750337382,0.5698924731182796
10,2,20,5,auto,True,0.6464237516869096,0.5860215053763441
10,2,20,5,auto,False,0.6329284750337382,0.5698924731182796
10,2,20,10,auto,True,0.6329284750337382,0.5913978494623656
10,2,20,10,auto,False,0.631578947368421,0.5591397849462365
10,2,20,20,auto,True,0.6369770580296896,0.5806451612903226
10,2,20,20,auto,False,0.6302294197031039,0.5591397849462365
10,2,50,1,auto,True,0.650472334682861,0.5698924731182796
10,2,50,1,auto,False,0.6329284750337382,0.5698924731182796
10,2,50,2,auto,True,0.650472334682861,0.5698924731182796
10,2,50,2,auto,False,0.6329284750337382,0.5698924731182796
10,2,50,5,auto,True,0.6464237516869096,0.5860215053763441
